CustomerID,PC1,PC2,Cluster
12346,-1.074033295076956,-2.263672987553388,0
12347,0.6859695376208224,0.7956726091906551,2
12348,0.06131734928137202,-0.38726903681712255,0
12349,0.12281972072966883,0.6638392316363804,2
12350,-0.4329212108982734,-0.454277450430068,0
12352,0.026362838576528415,0.5024151694375357,2
12353,-0.8197692772256313,-1.5049354587477952,0
12354,-0.007636419068515158,0.4980327640086081,2
12355,-0.4834299310063407,-0.6685542488119138,0
12356,0.26362186406757215,0.3299754694385187,2
12357,0.9409689196461949,0.9322499848569462,2
12358,-0.424227571197184,-0.6876861011319741,0
12359,0.9090093780270123,1.3893452643368138,2
12360,0.36963503018282673,0.9143167115372398,2
12361,-0.5912309571985983,-0.8551560021264589,0
12362,0.8965346017622766,1.3366598900710445,2
12363,-0.3080401353440612,-0.2304511567124346,0
12364,0.20154283367722148,0.601153699660545,2
12365,-0.3722064435729679,-0.24896647237234548,0
12367,-0.5579497786667227,-0.7859912747257415,0
12370,0.6944613219666468,1.0914907734649892,2
12371,0.08906007900834675,0.5414793333558767,2
12372,-0.09077001440248599,0.04589773890155257,2
12373,-0.4790159551062499,-0.6067001683602073,0
12374,-0.20913076449818632,0.05717313561550173,2
12375,-0.4744600798673146,-0.6081899902661765,0
12377,0.15372040234322093,0.6416296997391344,2
12378,0.8711076379630304,1.4234878190575557,2
12379,-0.1478159039622943,0.18655634238817176,2
12380,0.28709440202442676,0.6594678552670427,2
12381,0.1375115426773743,0.6212381613067717,2
12383,0.2959051612284716,0.7358354187028365,2
12384,-0.31688266924693076,-0.11974247276736569,0
12386,-0.535946898543925,-0.872804159547198,0
12388,0.26153855507223245,0.396120010362716,2
12390,-0.2313140524976172,0.036956510432835425,0
12391,0.027014071415669104,0.9042586347515057,2
12393,0.019851111014946264,0.3000266585513505,2
12394,-0.15839036345229365,-0.1703851218092353,0
12395,0.4961209471445233,0.7442351673329483,2
12397,0.3753871345692589,0.9548403057279796,2
12398,0.26287534543100166,0.7571321951022058,2
12399,0.03321993010538006,0.2960129115320909,2
12401,-0.7728833205342309,-1.3527761792642907,0
12402,-0.5646951979808922,-0.7838778762896201,0
12403,-0.7341178021079168,-1.3652366296805236,0
12405,0.07249426100340435,0.4079774289408783,2
12406,0.4783094336340474,0.7596561091390476,2
12407,0.16705074663153205,0.42662643849922727,2
12408,0.34977105905517875,0.6853349883606474,2
12409,1.650759232872288,0.37388806434089233,2
12410,-0.29478163747884323,-0.1268123023480026,0
12412,-0.030591844354747637,0.23649075459371735,2
